text,label
"Desarrollo de interfaces de usuario interactivas utilizando React, HTML5 y CSS3 moderno con diseño responsivo. Más info en https://react.dev o escribe a contact@frontend.com. <div>React rules!</div>","Frontend"
"Implementación de componentes reutilizables con Vue.js y manejo de estado global a través de Pinia. Visita https://pinia.vuejs.org. #vue #pinia","Frontend"
"Estilizado ágil de aplicaciones web usando Tailwind CSS y diseño adaptable para dispositivos móviles. Ver ejemplo en http://localhost:3000/demo. **Tailwind** es asombroso.","Frontend"
"Optimización del rendimiento del lado del cliente mediante carga diferida (lazy loading) de módulos en Angular. <p>Angular v16</p> y TypeScript.","Frontend"
"How to build a responsive landing page using raw HTML, CSS Grid, and custom JavaScript animations. See tutorial: https://css-tricks.com/grids/","Frontend"
"Creación de una API RESTful utilizando Node.js, Express y base de datos relacional PostgreSQL con Sequelize. Configura tu base de datos en postgresql://db-admin.","Backend"
"Diseño e implementación de arquitectura de microservicios con Java Spring Boot y comunicación mediante colas de mensajería RabbitMQ en el puerto 5672.","Backend"
"Desarrollo de servicios robustos con Python FastAPI y optimización de consultas complejas en bases de datos SQL. Consulta la documentación en https://fastapi.tiangolo.com/","Backend"
"Configuración de servidores Apache y Nginx para desplegar aplicaciones web seguras con certificados SSL/TLS y redirección HTTPS.","Backend"
"Building scalable backend systems using Golang, PostgreSQL database, and Redis caching. Learn more at https://go.dev/doc/tutorial/web-service-gin","Backend"
"Entrenamiento de modelos de redes neuronales convolucionales (CNN) para la detección de objetos y visión computacional en Python 3.10.","Inteligencia artificial"
"Implementación de arquitecturas de Transformers y modelos de lenguaje a gran escala (LLM) usando la API de Hugging Face. Visita https://huggingface.co/models","Inteligencia artificial"
"Desarrollo de agentes inteligentes y algoritmos de aprendizaje por refuerzo (Reinforcement Learning) para resolver entornos complejos de simulación.","Inteligencia artificial"
"Uso de redes generativas adversarias (GANs) para la creación y síntesis de imágenes realistas. Código disponible en git+https://github.com/gan-samples.","Inteligencia artificial"
